id,behavior
0,MB_SNOW
1,MB_TALL_GRASS
24,MB_SNOW
25,MB_SNOW
26,MB_SNOW
27,MB_SNOW
28,MB_TALL_GRASS
29,MB_TALL_GRASS
30,MB_JUMP_SOUTH
31,MB_JUMP_SOUTH
36,MB_TALL_GRASS
37,MB_TALL_GRASS
38,MB_JUMP_WEST
39,MB_JUMP_EAST
44,MB_SNOW
45,MB_SNOW
46,MB_JUMP_WEST
47,MB_JUMP_EAST
52,MB_HEADBUTT
53,MB_HEADBUTT
54,MB_JUMP_WEST
55,MB_JUMP_EAST
60,MB_HEADBUTT
61,MB_HEADBUTT
64,MB_ICE
65,MB_ICE
66,MB_ICE
67,MB_ICE
68,MB_ICE
69,MB_JUMP_SOUTH
72,MB_ICE
73,MB_ICE
74,MB_ICE
75,MB_ICE
76,MB_ICE
80,MB_ICE
81,MB_ICE
82,MB_ICE
83,MB_ICE
84,MB_ICE
88,MB_ICE
89,MB_ICE
90,MB_ICE
91,MB_ICE
92,MB_ICE
93,MB_ICE
94,MB_ICE
95,MB_ICE
96,MB_ICE
97,MB_ICE
98,MB_ICE
99,MB_ICE
100,MB_ICE
101,MB_ICE
102,MB_ICE
103,MB_ICE
104,MB_SNOW
105,MB_SNOW
106,MB_SNOW
107,MB_ICE
108,MB_ICE
